Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
SAT - EVE, 3/7/2020, 574, 8740, 23743, 3 7 9 19 27 32 $10.50 M/0, 857841, 14 15 32 34 38 $130000.00, , 7 15 21 33 62 +23 x2 $100.00 M/0,
SUN - MID, 3/8/2020, 736, 9408, 90117, , , , , ,
SUN - EVE, 3/8/2020, 905, 9696, 29603, , , 14 18 25 26 31 $140000.00, , ,
MON - MID, 3/9/2020, 706, 5893, 00831, , , , , ,
MON - EVE, 3/9/2020, 241, 8294, 80740, 7 18 19 24 25 36 $10.60 M/0, 231617, 3 6 9 18 30 $150000.00, , ,3 13 16 45 48 +130
TUE - MID, 3/10/2020, 031, 0529, 51409, , , , , ,
TUE - EVE, 3/10/2020, 477, 3531, 86852, , , 6 9 11 17 28 $160000.00, 6 17 48 54 69 +12 x5 $75.00 M/0, ,
WED - MID, 3/11/2020, 218, 5172, 07713, , , , , ,
WED - EVE, 3/11/2020, 402, 9292, 83250, 5 13 26 37 40 41 $10.70 M/0, 890421, 2 13 21 23 27 $100000.00, , 4 29 49 50 67 +2 x4 $110.00 M/0,
THU - MID, 3/12/2020, 838, 0442, 28816, , , , , ,
THU - EVE, 3/12/2020, 358, 0160, 41580, , , 9 17 18 19 23 $110000.00, , ,1 13 23 47 48 +110
FRI - MID, 3/13/2020, 332, 3973, 22223, , , , , ,
FRI - EVE, 3/13/2020, 353, 9816, 96259, , , 15 20 24 28 35 $120000.00, 7 22 37 43 44 +22 x4 $80.00 M/0, ,
SAT - MID, 3/14/2020, 446, 1260, 17984, , , , , ,
SAT - EVE, 3/14/2020, 588, 0022, 40219, 6 9 20 37 46 47 $10.80 M/0, 783823, 4 8 9 12 18 $130000.00, , 9 23 26 30 32 +8 x3 $120.00 M/0,
SUN - MID, 3/15/2020, 203, 7043, 59210, , , , , ,
SUN - EVE, 3/15/2020, 390, 8116, 24594, , , 2 25 26 28 35 $140000.00, , ,
MON - MID, 3/16/2020, 594, 3804, 33629, , , , , ,
MON - EVE, 3/16/2020, 379, 8234, 26650, 29 30 33 39 42 49 $10.90 M/0, 303352, 4 16 17 32 35 $150000.00, , ,3 7 24 26 42 +180
TUE - MID, 3/17/2020, 855, 2984, 85165, , , , , ,
TUE - EVE, 3/17/2020, 202, 0042, 00126, , , 13 26 29 31 38 $173000.00, 20 27 28 58 59 +25 x3 $90.00 M/0, ,
WED - MID, 3/18/2020, 120, 5670, 03337, , , , , ,
WED - EVE, 3/18/2020, 132, 6337, 43513, 5 10 26 30 48 49 $11.00 M/0, 524138, 2 6 12 26 38 $216000.00, , 15 27 44 59 63 +8 x4 $130.00 M/0,
THU - MID, 3/19/2020, 163, 4732, 71488, , , , , ,
THU - EVE, 3/19/2020, 519, 6801, 21662, , , 3 7 20 26 30 $258000.00, , ,13 19 24 38 42 +140
FRI - MID, 3/20/2020, 016, 4998, 12941, , , , , ,
FRI - EVE, 3/20/2020, 340, 7672, 84219, , , 19 23 29 38 39 $100000.00, 34 35 41 45 54 +5 x4 $96.00 M/0, ,
SAT - MID, 3/21/2020, 085, 1114, 83399, , , , , ,
SAT - EVE, 3/21/2020, 992, 6699, 45963, 10 35 36 37 43 49 $11.10 M/0, 427301, 3 7 9 28 38 $100000.00, , 2 23 40 59 69 +13 x2 $140.00 M/0,
SUN - MID, 3/22/2020, 107, 6187, 94047, , , , , ,
SUN - EVE, 3/22/2020, 073, 6725, 86732, , , 13 18 22 33 36 $110000.00, , ,
MON - MID, 3/23/2020, 516, 8290, 91904, , , , , ,
